video_id,title,channel,likes
MFpWEKN9c6Y,"Last Person Hanging Wins $10,000",MrBeast,6960000
nf-a38QkTOg,"Haisiyat,..🗿 #azmaik #reality #humanity #hearttouching #attitude #killer #azmaikshorts #farmer",Mr Azmaik,5564083
VQRLujxTm3c,Grand Theft Auto VI Trailer 2,Rockstar Games,5122242
ZZUyqzss-7k,🦑🎮 Round two! Will he make it? #PuffSurvives #SquidGameSequel #thatlittlepuff #Mesucalife,That Little Puff,5112684
kLBbj-2SMfY,100km/h Reflex Challenge 😱🚀,Celine Dept,4486913
r3A5u7sR5Jo,Itni maihnat kis ke liye Q?🥺 | The most viral video by mummypapa 🔥 #shorts #ytshorts,up wala aryan,4358291
TNtpUQbW4mg,This Is How The Pyramids Were Built,MrBeast,3507088
9nHIBCLPtyI,Don’t try this trick with a Squid Game Soldier 😉 #squidgame,Andrey Grechka,3408999
NDsO1LT_0lw,I Spent 100 Hours Inside The Pyramids!,MrBeast,3246157
cwrAsJlHuFQ,Can you fill an Inverted Flask ? #anubhavsir #theoryofphysics #physics,Theory_of_Physics X Unacademy,2801465
