country,total_views
PK,6140821686
IN,4514219036
AZ,2624759272
RU,2324696650
ES,2251447258
SN,2073295835
TH,1897903164
AU,1798424437
BR,1786009659
PH,1630513018
BE,1579796327
AR,1517191286
ID,1418334710
LU,1255878419
IL,1251486620
AE,1232350127
SV,1204156395
JP,1100004106
AT,1080724333
JM,1078287829
BG,1053322679
TR,1004733829
MY,973021365
IS,971953250
EE,970455332
IT,943618547
VN,922363862
KR,891944484
MK,812747495
KE,776962716
KZ,739407127
SG,675440593
CH,627400928
CA,623673831
HK,593934289
FR,579036874
BY,575744792
IE,572897078
TW,503712417
NG,442762952
PT,412833291
US,405876737
ME,361565383
FI,314544571
DK,304512212
PL,304102097
MT,276985060
GR,260317177
LT,246504277
DZ,243463587
GB,212325239
NZ,186365473
UA,185551269
SI,183199687
HR,167813205
CZ,163097307
HU,148339675
ZA,143450330
RO,139068671
NL,133606772
DE,108114125
BH,106730331
NO,102635859
MX,98711887
LV,87879568
EG,81405892
IQ,74450681
CL,72023854
CR,53052252
BO,52207469
SE,49555491
CO,46241309
RS,45350863
GT,42542213
SK,40583317
MA,29173554
PA,28130549
DO,22699921
HN,19927823
LB,15466788
PE,10179652
EC,8987123
SA,5870902
QA,3399963
JO,2359627
TN,2094736
UY,2083720
LY,1927809
PY,1894124
KW,1650142
YE,1047582
OM,400276
VE,297348
